   timestep             momentum      temperature  total_potential   total_pressure
          0                    0                0       96020.5625   -0.05208332464
        100       6.18134044e-10   0.003951772582      96020.58594    -0.0520632863
        200      1.919264525e-09   0.007839669473      96020.69531   -0.05204331875
        300      1.364469426e-09    0.01190178096            96021   -0.05202196911
        400      1.259522819e-09    0.01565926895      96021.59375   -0.05200145394
        500      2.734150906e-09     0.0196587611      96022.54688    -0.0519788079
        600      1.124815352e-09    0.02327669226      96023.91406   -0.05195707083
        700      1.225785362e-09    0.02672017738      96025.74219   -0.05193512887
        800      3.095272705e-09    0.03036468849      96028.07031   -0.05191108584
        900      3.437642171e-09    0.03392099217       96030.9375   -0.05188628659
       1000      3.202179188e-09     0.0371144861      96034.35156   -0.05186217278
       1100      4.591140801e-09    0.04029275849      96038.35938   -0.05183695629
       1200      3.384277525e-09    0.04341319203       96042.9375   -0.05181102082
       1300      1.948345041e-09     0.0465885736      96048.07031   -0.05178384855
       1400      3.926698078e-09      0.049532637         96053.75   -0.05175711215
       1500      4.074640181e-09    0.05265874416      96059.90625   -0.05172900483
       1600      5.075627474e-09    0.05531910434      96066.53125   -0.05170281604
       1700      5.724652752e-09    0.05814587697      96073.53125   -0.05167578533
       1800      2.580379466e-09    0.06068504602      96080.90625   -0.05165025592
       1900      3.710679986e-09    0.06350695342      96088.54688   -0.05162392184
       2000      4.550965826e-09    0.06595461816      96096.35156   -0.05160044506
       2100      1.611827449e-09    0.06880436093      96104.26562   -0.05157619715
       2200       1.62327507e-09    0.07073929906         96112.25   -0.05155810714
       2300      1.772521463e-09     0.0731530413      96120.32812   -0.05153901875
       2400      2.950029776e-09    0.07537280023       96128.4375    -0.0515226014
       2500        5.8175611e-09    0.07766807824      96136.48438   -0.05150782689
       2600      3.676852822e-09    0.08002690226      96144.33594   -0.05149528384
       2700      5.928362246e-09    0.08244817704      96151.95312   -0.05148518831
       2800      3.935374249e-09    0.08489974588      96159.42188    -0.0514774248
       2900      3.467052645e-09    0.08728892356      96166.61719   -0.05147284642
       3000      5.318399054e-09    0.08969596028      96173.66406   -0.05147083476
       3100      5.464827257e-09    0.09222753346       96180.5625    -0.0514710173
       3200      3.970492823e-09    0.09481595457      96187.26562   -0.05147375911
       3300      3.868295018e-09    0.09764618427      96193.96875   -0.05147759616
       3400        3.4964871e-09    0.09961945564      96200.73438   -0.05148759484
       3500      2.506812313e-09     0.1025135145      96207.51562   -0.05149499327
       3600      5.873492803e-09     0.1049776599        96214.375   -0.05150642619
       3700      1.732208821e-09     0.1080056503      96221.41406   -0.05151657015
       3800       2.80008039e-09     0.1105348393      96228.80469   -0.05153025687
       3900      6.245330919e-09        0.1134976       96236.4375   -0.05154295638
       4000      8.974398114e-09     0.1162278354      96244.50781   -0.05155762658
       4100      1.284651607e-09     0.1186339408      96252.92188   -0.05157494172
       4200      4.287060484e-09     0.1206630468      96261.82812   -0.05159468576
       4300      4.219248506e-09     0.1227019504      96271.11719   -0.05161495134
       4400      5.608955966e-09     0.1244790331      96280.79688   -0.05163772404
       4500      6.714795386e-09     0.1266335696            96291   -0.05165899172
       4600      4.031808221e-09     0.1282051206      96301.66406      -0.05168375
       4700      4.968612632e-09     0.1303772181      96312.79688   -0.05170625448
       4800      1.871700128e-09     0.1322596222      96324.48438   -0.05173065141
       4900       1.03584048e-08     0.1338931024      96336.51562   -0.05175730586
       5000      7.495465359e-10     0.1352537721      96348.82031   -0.05178638175
       5100      7.011974557e-09     0.1369836926      96361.53906   -0.05181410164
